state,time_in_office,party,year
California,2011 - 2019,Democrat,2013
California,2003 - 2011,Republican,2003
California,1975 - 1983,Democrat,1983
California,1975 - 1983,Democrat,1982
California,1975 - 1983,Democrat,1981
California,1975 - 1983,Democrat,1980
California,2003 - 2011,Republican,2004
California,1975 - 1983,Democrat,1979
California,1975 - 1983,Democrat,1978
California,1975 - 1983,Democrat,1977
California,2003 - 2011,Republican,2009
California,2003 - 2011,Republican,2008
California,2003 - 2011,Republican,2007
California,2003 - 2011,Republican,2006
California,2011 - 2019,Democrat,2011
California,1975 - 1983,Democrat,1976
California,1975 - 1983,Democrat,1975
California,2011 - 2019,Democrat,2019
California,2011 - 2019,Democrat,2018
California,2011 - 2019,Democrat,2017
California,2011 - 2019,Democrat,2016
California,2011 - 2019,Democrat,2015
California,2011 - 2019,Democrat,2014
California,2011 - 2019,Democrat,2012
California,2003 - 2011,Republican,2005
California,1999 - 2003,Democrat,2002
California,1999 - 2003,Democrat,2001
California,1999 - 2003,Democrat,2000
California,1999 - 2003,Democrat,2003
California,1999 - 2003,Democrat,1999
California,2003 - 2011,Republican,2010
California,2003 - 2011,Republican,2011
Maine,1995 - 2003,Independent,2001
Maine,2003 - 2011,Democrat,2009
Maine,1995 - 2003,Independent,1999
Maine,1995 - 2003,Independent,1998
Maine,1995 - 2003,Independent,1997
Maine,1995 - 2003,Independent,1996
Maine,1995 - 2003,Independent,1995
Maine,2003 - 2011,Democrat,2011
Maine,2003 - 2011,Democrat,2008
Maine,2003 - 2011,Democrat,2007
Maine,2003 - 2011,Democrat,2006
Maine,2003 - 2011,Democrat,2005
Maine,2003 - 2011,Democrat,2004
Maine,2003 - 2011,Democrat,2003
Maine,1995 - 2003,Independent,2003
Maine,1995 - 2003,Independent,2000
Maine,1995 - 2003,Independent,2002
Maine,2003 - 2011,Democrat,2010
Maine,2011 - 2019,Republican,2016
Maine,2011 - 2019,Republican,2011
Maine,2011 - 2019,Republican,2012
Maine,2011 - 2019,Republican,2019
Maine,2011 - 2019,Republican,2018
Maine,2011 - 2019,Republican,2017
Maine,2011 - 2019,Republican,2015
Maine,2011 - 2019,Republican,2014
Maine,2011 - 2019,Republican,2013
Vermont,1991 - 2003,Democrat,1999
Vermont,1991 - 2003,Democrat,1998
Vermont,2003 - 2011,Republican,2007
Vermont,2003 - 2011,Republican,2005
Vermont,1991 - 2003,Democrat,2001
Vermont,2003 - 2011,Republican,2006
Vermont,1991 - 2003,Democrat,2000
Vermont,1991 - 2003,Democrat,1997
Vermont,2003 - 2011,Republican,2009
Vermont,1991 - 2003,Democrat,1996
Vermont,1991 - 2003,Democrat,1995
Vermont,1991 - 2003,Democrat,1994
Vermont,1991 - 2003,Democrat,1993
Vermont,1991 - 2003,Democrat,1992
Vermont,1991 - 2003,Democrat,1991
Vermont,2003 - 2011,Republican,2010
Vermont,2003 - 2011,Republican,2011
Vermont,1991 - 2003,Democrat,2002
Vermont,2003 - 2011,Republican,2003
Vermont,2003 - 2011,Republican,2008
Vermont,2003 - 2011,Republican,2004
Vermont,1991 - 2003,Democrat,2003
Vermont,2011 - 2017,Democrat,2015
Vermont,2011 - 2017,Democrat,2011
Vermont,2011 - 2017,Democrat,2012
Vermont,2011 - 2017,Democrat,2014
Vermont,2011 - 2017,Democrat,2016
Vermont,2011 - 2017,Democrat,2017
Vermont,2011 - 2017,Democrat,2013
Washington,1997 - 2005,Democrat,1999
Washington,1997 - 2005,Democrat,2001
Washington,1997 - 2005,Democrat,2002
Washington,1997 - 2005,Democrat,2005
Washington,1997 - 2005,Democrat,1998
Washington,1997 - 2005,Democrat,1997
Washington,1997 - 2005,Democrat,2000
Washington,2005 - 2013,Democrat,2010
Washington,2005 - 2013,Democrat,2005
Washington,1993 - 1997,Democrat,1993
Washington,1993 - 1997,Democrat,1994
Washington,1993 - 1997,Democrat,1995
Washington,1993 - 1997,Democrat,1996
Washington,1993 - 1997,Democrat,1997
Washington,2005 - 2013,Democrat,2013
Washington,1997 - 2005,Democrat,2004
Washington,2005 - 2013,Democrat,2012
Washington,1997 - 2005,Democrat,2003
Washington,2005 - 2013,Democrat,2009
Washington,2005 - 2013,Democrat,2008
Washington,2005 - 2013,Democrat,2007
Washington,2005 - 2013,Democrat,2006
Washington,2005 - 2013,Democrat,2011
